area_type,location,society,size,total_sqft,sqft,bath,balcony,possession date,price
Super built-up  Area,Bannerghatta Road,DSnjh S,3 BHK,1427,1427,2,2,43787,48.51
Super built-up  Area,Kothannur,,3 BHK,1270,1270,3,2,44775,45
Built-up  Area,Ramagondanahalli,SVovelm,2 BHK,920,920,2,3,Ready to move,65
Built-up  Area,Dommasandra,,4 Bedroom,2700,2700,3,2,Ready to move,68
Super built-up  Area,Indira Nagar 3rd Stage,,3 BHK,1740,1740,3,2,Ready to move,199
Built-up  Area,Ramamurthy Nagar,,3 BHK,1355,1355,2,,Ready to move,40
Super built-up  Area,Lingadheeranahalli,Soiewre,3 BHK,1530,1530,2,2,Ready to move,90
Carpet  Area,Gokula Extension,,3 BHK,1372,1372,2,1,Ready to move,90
Super built-up  Area,Nehru Nagar,Undge T,4 BHK,2363,2363,5,2,Ready to move,120
Super built-up  Area,Marathahalli,PueraRi,4 BHK,3895,3895,4,3,Ready to move,220
Super built-up  Area,Jakkur,SoineC ,3 BHK,1950,1950,3,2,43598,131
Built-up  Area,Hoysalanagar,PNncysi,2 BHK,885,885,2,3,Ready to move,40
Built-up  Area,Yelahanka,,2 BHK,600,600,2,2,Ready to move,27
Plot  Area,Kumaraswami Layout,,5 Bedroom,1270,1270,4,1,Ready to move,128
Plot  Area,Vijayanagar,,2 Bedroom,1380,1380,2,0,Ready to move,225
Super built-up  Area,Kanakpura Road,PuandHi,2 BHK,1339,1339,2,2,Ready to move,62
Super built-up  Area,Whitefield,SMuilan,2 BHK,1130,1130,2,1,Ready to move,36
Built-up  Area,Uttarahalli,,2 BHK,1085,1085,2,2,Ready to move,43
Built-up  Area,Yeshwanthpur,IBityin,3 BHK,1430,1430,3,2,Ready to move,72
Carpet  Area,Bhoganhalli,Rosha I,4 BHK,1451.5,1451.5,4,1,43555,121
Super built-up  Area,Ramakrishnappa Layout,PeBayle,5 BHK,6200,6200,5,,Ready to move,720
Super built-up  Area,AGS Layout,,3 BHK,1490,1490,2,1,Ready to move,59.6
Built-up  Area,Vishwanatha Nagenahalli,,4 BHK,1650,1650,4,0,Ready to move,99
Super built-up  Area,Bellandur,,2 BHK,1286,1286,2,2,Ready to move,57
Built-up  Area,KR Garden,Saavear,2 BHK,925,925,2,2,Ready to move,63
Super built-up  Area,Bellandur,Sonyxa ,4 BHK,3016,3016,4,3,Ready to move,230
Built-up  Area,Haralur Road,,2 BHK,1000,1000,2,2,Ready to move,44
Super built-up  Area,Whitefield,SSthamh,2 BHK,1215,1215,2,2,Ready to move,39
Plot  Area,Kanakadasa Layout,,4 Bedroom,1200,1200,3,1,Ready to move,95
Super built-up  Area,Lakshminarayana Pura,Puarent,2 BHK,1336,1336,2,2,Ready to move,100
Super built-up  Area,Yeshwanthpur,IBityin,1 BHK,673,673,1,1,Ready to move,36.85
Plot  Area,Anandapura,,2 Bedroom,1200,1200,2,1,Ready to move,58
Plot  Area,Lingarajapuram,,6 Bedroom,600,600,7,2,Ready to move,63
Super built-up  Area,Malleshwaram,,3 BHK,1600,1600,3,3,Ready to move,160
Plot  Area,Mallathahalli,,2 Bedroom,1200,1200,2,0,Ready to move,79
Plot  Area,Indira Nagar,,6 Bedroom,2480,2480,4,1,Ready to move,750
Super built-up  Area,Jayamahal Extension,,3 BHK,2500,2500,3,,45232,270
Plot  Area,Devanahalli,,5 Bedroom,2400,2400,5,3,Ready to move,100
Super built-up  Area,Sector 2 HSR Layout,,2 BHK,1143,1143,2,2,Ready to move,65
Super built-up  Area,Kanakpura Road,JRrnauv,2 BHK,1470,1470,2,2,Ready to move,61.74
Plot  Area,Laxminarayana Layout,,4 Bedroom,1584,1584,3,2,Ready to move,145
Super built-up  Area,Marathahalli,Vaoodar,3 BHK,1785,1785,3,2,Ready to move,94
Super built-up  Area,Koramangala,,3 BHK,2292,2292,3,2,Ready to move,286
Super built-up  Area,Kothanur,,3 BHK,1460,1460,3,3,Ready to move,71
Super built-up  Area,Kasturi Nagar,,3 BHK,1500,1500,2,3,Ready to move,80
Plot  Area,Yelahanka,,5 Bedroom,1200,1200,4,1,Ready to move,140
Built-up  Area,Sanjay nagar,,5 BHK,3300,3300,3,,Ready to move,250
Super built-up  Area,Chikkalasandra,,2 BHK,1230,1230,2,2,Ready to move,48
Super built-up  Area,Yelahanka New Town,KHatsFl,1 BHK,650,650,1,1,Ready to move,20
Super built-up  Area,Benson Town,,2 BHK,1480,1480,2,,Ready to move,120
Super built-up  Area,Thanisandra,MenueNo,2 BHK,1220,1220,2,1,Ready to move,43.92
Super built-up  Area,Dooravani Nagar,Puceswn,3 BHK,1570,1570,3,1,Ready to move,115
Built-up  Area,Sadashiva Nagar,,3 BHK,3000,3000,3,3,Ready to move,400
Super built-up  Area,Mallasandra,Puestig,3 BHK,1665,1665,3,2,Ready to move,86.91
Plot  Area,Banagiri Nagar,,3 Bedroom,1350,1350,3,1,Ready to move,380
Plot  Area,Sarjapur  Road,Adeatlm,4 Bedroom,4000,4000,5,2,Ready to move,600
Plot  Area,Ramamurthy Nagar,,2 Bedroom,1100,1100,2,0,Ready to move,68
Super built-up  Area,Kathriguppe,Prone M,3 BHK,1350,1350,2,1,Ready to move,87.01
Built-up  Area,Kasavanhalli,Salisal,3 BHK,1719,1719,3,2,Ready to move,116
Super built-up  Area,Budigere,PrityTr,1 BHK,664,664,1,1,Ready to move,35
Super built-up  Area,Sonnenahalli,Skacak ,2 BHK,1011,1011,2,1,43578,50.53
Built-up  Area,Akshya Nagar,,6 Bedroom,2400,2400,6,0,Ready to move,130
Super built-up  Area,Basaveshwara Nagar Yelahanka,,3 BHK,1680,1680,3,2,Ready to move,85
Super built-up  Area,Yeshwanthpur,VSlistr,2 BHK,704 - 730,717,2,0,Ready to move,49.475
Plot  Area,Thyagaraja Nagar,,4 Bedroom,700,700,4,2,Ready to move,110
Super built-up  Area,Whitefield,Skstark,3 BHK,1520,1520,2,2,Ready to move,150
Carpet  Area,Uttarahalli,Vancya ,3 BHK,1350,1350,2,2,Ready to move,53
Super built-up  Area,Kothanur,Somumys,3 BHK,1760,1760,3,,44594,150
Super built-up  Area,Pattandur Agrahara,Shvarji,2 BHK,875,875,2,1,Ready to move,33
Super built-up  Area,Hennur,Adity T,2 BHK,1231,1231,2,2,Ready to move,48
Super built-up  Area,Somasundara Palya,Abeesmi,2 BHK,1174,1174,2,3,Ready to move,74
Built-up  Area,Munnekollal,DaniaNe,3 BHK,1560,1560,3,3,Ready to move,75
Super built-up  Area,HOSUR MAIN ROAD,,2 BHK,1464,1464,2,2,Ready to move,56
Plot  Area,Kanakpura Road,,3 Bedroom,2200,2200,3,2,Ready to move,130
Built-up  Area,Shivaji Nagar,,2 BHK,850,850,2,2,Ready to move,55
Built-up  Area,Sahyadri Layout,Adthm R,3 BHK,1750,1750,3,1,Ready to move,180
Super built-up  Area,1st Phase JP Nagar,NCaveun,3 BHK,2024,2024,3,,Ready to move,157
Plot  Area,Mathikere SBM colony,,2 Bedroom,1500,1500,1,0,Ready to move,160
Plot  Area,"white field,kadugodi",,6 Bedroom,2100,2100,6,,Ready to move,275
Super built-up  Area,Kodihalli,Soianal,3 BHK,2408,2408,4,2,Ready to move,260
Super built-up  Area,Devanahalli,Brrds O,2 BHK,1080,1080,2,1,Ready to move,44
Super built-up  Area,Indira Nagar,,3 BHK,2070,2070,3,2,Ready to move,225
Built-up  Area,Electronic City,,2 BHK,1020,1020,2,1,44518,29.46
Super built-up  Area,Begur Road,Dhalsh ,3 BHK,1500,1500,2,3,Ready to move,55
Plot  Area,Mahalakshmi Layout,,4 Bedroom,1575,1575,5,1,Ready to move,158
Plot  Area,Kodichikkanahalli,,4 Bedroom,3250,3250,4,1,Ready to move,180
Super built-up  Area,Uttarahalli,,2 BHK,1175,1175,2,1,Ready to move,47
Super built-up  Area,Channasandra,Unm 2El,2 BHK,1030,1030,2,1,Ready to move,34.5
Super built-up  Area,Hebbal,Mahosya,2 BHK,1440,1440,2,1,44999,115
Built-up  Area,Hoodi,SMaxyay,2 BHK,1500,1500,2,1,Ready to move,84
Plot  Area,Thanisandra,,1 Bedroom,1380,1380,1,1,Ready to move,62.1
Built-up  Area,Bagalur,Haows M,2 BHK,1200,1200,2,3,Ready to move,50
Built-up  Area,Vinayak Nagar,,1 BHK,705,705,1,2,Ready to move,36.5
Super built-up  Area,Harlur,Prncyrn,3 BHK,2240,2240,5,2,Ready to move,155
Super built-up  Area,Hegde Nagar,Sonosty,3 BHK,1584.01,1584.01,3,1,Ready to move,103
Super built-up  Area,P Krishnappa Layout,Apitea ,3 BHK,1340,1340,3,3,Ready to move,77
Super built-up  Area,Green Garden Layout,Mas 2 H,3 BHK,1800,1800,3,2,Ready to move,70
Super built-up  Area,R.T. Nagar,,2 BHK,1200,1200,2,3,Ready to move,45
Super built-up  Area,Sarjapur  Road,AsastDe,1 BHK,685,685,1,1,43601,40
Super built-up  Area,Kalkere,Sothin ,2 BHK,925,925,2,3,Ready to move,42
Super built-up  Area,Crimson Layout,ARntyne,2 BHK,1230,1230,2,2,Ready to move,57
Plot  Area,Manjunath Nagar,,5 Bedroom,1200,1200,5,1,Ready to move,185
Super built-up  Area,Kodichikkanahalli,Aaubyya,2 BHK,1125,1125,2,1,Ready to move,52
Super built-up  Area,Hebbal,,2 BHK,1100,1100,2,1,Ready to move,54
Plot  Area,Jigani,Prllasw,3 Bedroom,2400,2400,3,2,43722,149
Super built-up  Area,Electronic City Phase II,Sryalan,3 BHK,1400,1400,2,2,44712,41.58
Plot  Area,Uttarahalli,,7 Bedroom,1200,1200,7,2,Ready to move,225
Super built-up  Area,Jakkur,Ceezey ,3 BHK,1858,1858,3,1,Ready to move,98.3
Plot  Area,Adityanagar,,1 Bedroom,1260,1260,1,1,Ready to move,41
Built-up  Area,Ambedkar Nagar,SoechHa,4 BHK,3530,3530,4,2,Ready to move,290
Super built-up  Area,HSR Layout,,2 BHK,1185,1185,2,2,Ready to move,60
Plot  Area,RMV 2nd Stage,,2 Bedroom,1200,1200,2,1,Ready to move,216
Super built-up  Area,Hennur,,2 BHK,1255,1255,2,1,Ready to move,58
Super built-up  Area,Rajaji Nagar,,4 BHK,3436,3436,6,3,Ready to move,475
Built-up  Area,Kudlu Gate,Brlms P,3 BHK,1335,1335,3,2,Ready to move,89
Super built-up  Area,Dodda Nekkundi,,3 BHK,1999,1999,3,2,Ready to move,132
Plot  Area,Kanaka Nagar,,2 Bedroom,1200,1200,2,1,Ready to move,125
Super built-up  Area,Kundalahalli,Dieldli,3 BHK,1397,1397,3,2,Ready to move,110
Plot  Area,Jigani,Mae 2ra,10 Bedroom,1200,1200,10,,Ready to move,105
Super built-up  Area,Cooke Town,,4 BHK,3950,3950,4,,Ready to move,450
Plot  Area,Yelahanka New Town,KHatsFl,2 Bedroom,1200,1200,2,1,Ready to move,130
Plot  Area,Chikka Tirupathi,,3 Bedroom,1616,1616,3,0,Ready to move,95
Plot  Area,Banashankari Stage III,,8 Bedroom,1200,1200,7,2,Ready to move,350
Built-up  Area,Hanumantha Nagar,,4 Bedroom,1270,1270,2,1,Ready to move,175
Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,2 BHK,1140,1140,2,2,Ready to move,38.55
Super built-up  Area,Kanakpura Road,PrarePa,1 BHK,525,525,1,1,44143,30
Plot  Area,Varthur,,3 Bedroom,1200,1200,2,1,Ready to move,98
Built-up  Area,Bagalakunte,,1 Bedroom,700,700,1,1,Ready to move,162
Super built-up  Area,Balagere,Soresea,2 BHK,1205.47,1205.47,2,1,43878,81
Plot  Area,T Dasarahalli,,3 Bedroom,1200,1200,3,2,Ready to move,130
Super built-up  Area,Electronic City,Naireru,3 BHK,1700,1700,3,2,Ready to move,75
Plot  Area,Thanisandra,,5 Bedroom,750,750,4,0,Ready to move,62
Super built-up  Area,Kanakpura Road,GolusLi,2 BHK,1090,1090,2,1,44213,54.54
Super built-up  Area,Yeshwanthpur,IBityin,4 BHK,3600,3600,5,,Ready to move,220
Built-up  Area,Kundalahalli,,1 BHK,2400,2400,1,0,Ready to move,650
Super built-up  Area,Thanisandra,Bhe 2ko,1 BHK,923,923,1,1,44319,60.84
Super built-up  Area,Muthurayya Swamy Layout,MacleK ,4 BHK,3595,3595,6,2,43601,360
Super built-up  Area,Green Glen Layout,GaentAp,2 BHK,1050,1050,2,2,Ready to move,48
Super built-up  Area,Whitefield,UKe 2nz,2 BHK,1495,1495,2,2,Ready to move,79.5
Super built-up  Area,Hennur Road,Puachal,3 BHK,1482 - 1846,1664,,,44110,93.865
Built-up  Area,Narayanapura,,3 BHK,1485,1485,3,2,Ready to move,85
Super built-up  Area,Dommasandra,,3 BHK,1033,1033,2,2,44619,31.5
Super built-up  Area,Electronic City,DSgmax ,3 BHK,1400,1400,2,1,Ready to move,48
Built-up  Area,Indira Nagar,,1 Bedroom,500,500,1,0,Ready to move,70
Super built-up  Area,Sarjapur  Road,Ascid P,2 BHK,944,944,2,1,Ready to move,35
Built-up  Area,Whitefield,,5 Bedroom,3250,3250,5,0,Ready to move,290
Super built-up  Area,Whitefield,Prtates,2 BHK,1216,1216,2,1,44990,66.48
Super built-up  Area,Thirumenahalli,,2 BHK,1100,1100,2,1,Ready to move,39.5
Super built-up  Area,Thanisandra,Moity S,3 BHK,1743,1743,3,2,Ready to move,93.25
Super built-up  Area,Yelahanka,Pyikad ,2 BHK,1274,1274,2,2,Ready to move,48.42
Super built-up  Area,Lavelle Road,,3 BHK,2500,2500,3,2,Ready to move,425
Super built-up  Area,Mysore Road,SaodySa,3 BHK,1512,1512,2,2,Ready to move,110
Super built-up  Area,Dollars Colony,,4 BHK,3100,3100,5,1,Ready to move,385
Super built-up  Area,Cox Town,,3 BHK,1650,1650,3,3,Ready to move,100
Built-up  Area,Doddathoguru,SryleHo,3 BHK,1875,1875,3,1,Ready to move,55
Built-up  Area,Whitefield,,3 BHK,1350,1350,3,2,Ready to move,54
Super built-up  Area,Rajiv Gandhi Nagar,,2 BHK,1219,1219,2,2,Ready to move,40
Plot  Area,Goraguntepalya,,4 Bedroom,1200,1200,4,1,Ready to move,150
Plot  Area,Sarjapura - Attibele Road,,3 Bedroom,2400,2400,3,3,Ready to move,85
Super built-up  Area,Hormavu,,2 BHK,1141,1141,2,1,Ready to move,44.4
Super built-up  Area,Anandapura,ViensRK,2 BHK,1151,1151,2,1,Ready to move,43.1
Plot  Area,Bommenahalli,Prana S,3 Bedroom,832,832,3,1,Ready to move,77
Super built-up  Area,Sarjapur  Road,Shthi S,2 BHK,915,915,2,1,Ready to move,38
Plot  Area,Rajankunte,,3 Bedroom,3259,3259,3,0,Ready to move,270
Super built-up  Area,Bannerghatta Road,PrarePa,2 BHK,1115,1115,2,1,44638,65.12
Super built-up  Area,Thigalarapalya,Prtanha,3 BHK,2072,2072,4,2,Ready to move,139
Super built-up  Area,Kaggadasapura,MCngeha,2 BHK,1200,1200,2,2,Ready to move,53
Super built-up  Area,Singasandra,Phhidx ,2 BHK,1300,1300,2,2,Ready to move,65
Super built-up  Area,Bellandur,Amivace,2 BHK,1457,1457,2,2,Ready to move,85
Super built-up  Area,Kannamangala,Marnaer,2 BHK,1262,1262,2,2,Ready to move,55
Plot  Area,BEML Layout,,4 Bedroom,1196,1196,3,1,Ready to move,150
Super built-up  Area,Ananth Nagar,,2 BHK,900,900,2,2,45236,22.5
Built-up  Area,Attibele,Jae 1hu,1 BHK,420,420,1,1,Ready to move,17
Super built-up  Area,Kanakapura,,2 BHK,1160,1160,2,1,Ready to move,46.39
Super built-up  Area,Kasavanhalli,,2 BHK,1115,1115,2,2,Ready to move,50
Built-up  Area,JP Nagar,,3 BHK,1315,1315,2,1,Ready to move,85.4
Built-up  Area,Babusapalaya,,2 BHK,1500,1500,2,2,Ready to move,57
Super built-up  Area,HSR Layout,SruntFa,2 BHK,1127,1127,2,1,Ready to move,68
Super built-up  Area,Kundalahalli,Dieldli,3 BHK,1397,1397,3,2,45042,104
Built-up  Area,Whitefield,,2 BHK,1173,1173,2,1,44307,60
Super built-up  Area,Sompura,,2 BHK,1090,1090,2,2,Ready to move,28
Super built-up  Area,Sarjapur  Road,Maana E,3 BHK,2720,2720,5,,Ready to move,210
Super built-up  Area,Jakkur,BrdgeNo,2 BHK,1230,1230,2,1,44608,76
Super built-up  Area,6th Block Rajaji Nagar,,4 BHK,3200,3200,3,3,Ready to move,190
Super built-up  Area,Sarjapur  Road,Daivon ,2 BHK,858,858,2,1,43607,31.57
Super built-up  Area,Talaghattapura,Sodgere,3 BHK,1868,1868,3,1,44550,121
Super built-up  Area,Uttarahalli,Baveles,3 BHK,1689.28,1689.28,3,2,Ready to move,91.2
Built-up  Area,Vishwapriya Layout,,4 BHK,600,600,3,2,Ready to move,73
Super built-up  Area,Banashankari,,3 BHK,1425,1425,3,3,Ready to move,49.88
Plot  Area,Subramanyapura,,6 Bedroom,1200,1200,6,2,Ready to move,170
Plot  Area,Tindlu,,2 Bedroom,1350,1350,2,1,Ready to move,100
Built-up  Area,Channasandra,,6 Bedroom,4200,4200,6,0,Ready to move,180
Super built-up  Area,Uttarahalli,Ihnueut,3 BHK,1310,1310,2,1,Ready to move,85
Super built-up  Area,Haralur Road,SNnia E,4 BHK,2805 - 3565,3185,,,43798,175
Super built-up  Area,MLA Layout,,2 BHK,970,970,2,1,Ready to move,40
Super built-up  Area,Kundalahalli,Dieldli,3 BHK,1397,1397,3,3,44154,108
Super built-up  Area,Sarjapur,Vehes L,2 BHK,1157,1157,2,1,44786,40
Super built-up  Area,Kasavanhalli,,2 BHK,1125,1125,2,1,Ready to move,61.2
Super built-up  Area,Sonnenahalli,DSgam S,2 BHK,1157,1157,2,1,Ready to move,42
Super built-up  Area,Sarjapur  Road,BModsen,2 BHK,1241,1241,2,1,Ready to move,82
Super built-up  Area,Binny Pete,She 2rk,1 BHK,660,660,1,1,45117,62
Built-up  Area,Marathahalli,PueraRi,4 BHK,4000,4000,4,3,Ready to move,220
Super built-up  Area,Rajiv Nagar,PuoodSk,4 BHK,2340,2340,4,1,Ready to move,148
Built-up  Area,Venkatadri Layout,Raiyai ,1 BHK,596,596,1,1,Ready to move,42
Super built-up  Area,Koramangala Industrial Layout,,16 BHK,10000,10000,16,,Ready to move,550
Plot  Area,Kyalasanahalli,UpowsMe,4 Bedroom,1200,1200,4,3,Ready to move,110
Super built-up  Area,Ambedkar Colony,RMcesa ,3 BHK,1910,1910,3,1,Ready to move,190
Super built-up  Area,Brookefield,CidgeKn,2 BHK,1139,1139,2,2,Ready to move,80
Super built-up  Area,Thigalarapalya,Prtanha,4 BHK,3122,3122,5,2,Ready to move,225
Super built-up  Area,Sarjapura - Attibele Road,,2 BHK,1033,1033,2,2,43900,28.41
Super built-up  Area,Yeshwanthpur,IBityin,2 BHK,1168,1168,2,2,Ready to move,64.08
Super built-up  Area,Chandapura,,2 BHK,877,877,2,3,Ready to move,42
Built-up  Area,Electronics City Phase 1,Shitt S,2 BHK,1340,1340,2,2,44991,75
Built-up  Area,B Narayanapura,ShentAp,3 BHK,1405,1405,2,2,Ready to move,70
Super built-up  Area,Siddapura,,3 BHK,1800,1800,3,3,Ready to move,65
Built-up  Area, Devarabeesana Halli,Sorisa ,3 BHK,1750,1750,3,3,Ready to move,149
Super built-up  Area,Motappa Layout,Puodse ,3 BHK,1360,1360,2,1,Ready to move,65
Plot  Area,Malleshwaram,,3 Bedroom,675,675,2,0,Ready to move,148
Super built-up  Area,Byrasandra,Sancy R,2 BHK,985,985,2,1,45157,63
Super built-up  Area,Victoria Layout,,2 BHK,1300,1300,2,1,44400,129
Super built-up  Area,7th Phase JP Nagar,Brngsal,3 BHK,1850,1850,3,2,Ready to move,150
Super built-up  Area,Rustam Bagh Layout,Srowsee,3 BHK,1490,1490,2,3,Ready to move,88
Super built-up  Area,Byagadadhenahalli,VBavaai,2 BHK,620,620,1,1,Ready to move,25
Super built-up  Area,Hormavu,,2 BHK,1130,1130,2,1,44402,42.3
Super built-up  Area,Yelachenahalli,BaiseBa,2 BHK,1080,1080,2,2,Ready to move,55
Built-up  Area,Singasandra,,4 BHK,3126,3126,4,,Ready to move,120
Super built-up  Area,Begur Road,Dhalsh ,3 BHK,1410,1410,2,3,Ready to move,52.17
Super built-up  Area,Bommanahalli,,3 BHK,1375,1375,3,2,Ready to move,59
Super built-up  Area,Hennur Road,Maity W,3 BHK,1290,1290,2,1,Ready to move,94.5
Super built-up  Area,Hosa Road,Skume R,3 BHK,1318,1318,2,1,43632,85.28
Super built-up  Area,Electronic City,Prarkun,2 BHK,1128,1128,2,1,Ready to move,68
Plot  Area,Meenakunte,Sreat R,4 Bedroom,4428,4428,4,2,Ready to move,255
Super built-up  Area,Kanakpura Road,GolusLi,2 BHK,1051,1051,2,2,43522,56.74
Plot  Area,Kengeri,,3 Bedroom,3500,3500,5,0,Ready to move,275
Plot  Area,Kannamangala,MIalerd,4 Bedroom,2400,2400,4,1,Ready to move,130
Super built-up  Area,Yelahanka,PuziaVe,2 BHK,1327,1327,2,3,Ready to move,85
Super built-up  Area,Thigalarapalya,Prtanha,4 BHK,2912,2912,6,2,Ready to move,210
Super built-up  Area,Basapura,Jaangm ,2 BHK,1301,1301,2,2,Ready to move,55
Super built-up  Area,Thippasandra,,1 BHK,650,650,1,0,Ready to move,30
Plot  Area,Varthur,,3 Bedroom,1200,1200,3,1,44631,67.75
Super built-up  Area,Banagiri Nagar,,3 BHK,1500,1500,2,2,Ready to move,89.99
Plot  Area,Kumara Park,,4 Bedroom,2700,2700,6,,Ready to move,675
Plot  Area,Nagadevanahalli,,4 Bedroom,1350,1350,4,2,Ready to move,145
Built-up  Area,Electronic City Phase II,Sryalan,2 BHK,1000,1000,2,1,43475,28.88
Super built-up  Area,Sarjapur  Road,AsastDe,2 BHK,984,984,2,1,43494,45.91
Super built-up  Area,Jakkur,SoineC ,3 BHK,1819.18,1819.18,3,1,44665,160
Built-up  Area,Nagarbhavi,,1 Bedroom,900,900,1,0,Ready to move,175
Super built-up  Area,Hebbal,Magiaya,3 BHK,1355,1355,3,1,45106,83.87
Super built-up  Area,Sarakki Nagar,Sowerew,3 BHK,2145,2145,4,1,Ready to move,270
Super built-up  Area,Malleshwaram,Sariaat,3 BHK,2475,2475,4,3,Ready to move,300
Super built-up  Area,Kaggadasapura,,2 BHK,1118,1118,2,0,44130,30
Super built-up  Area,Roopena Agrahara,,1 BHK,910,910,1,1,Ready to move,42
Super built-up  Area,Madiwala,,3 BHK,1250,1250,3,2,45241,39
Super built-up  Area,Hosakerehalli,SoageHe,2 BHK,1304,1304,2,3,44894,100
Super built-up  Area,Begur Road,Dhalsh ,3 BHK,1615,1615,3,2,Ready to move,58
Super built-up  Area,Sarjapur  Road,Contsci,2 BHK,1400,1400,2,2,Ready to move,68
Super built-up  Area,CV Raman Nagar,Villeka,2 BHK,1070,1070,2,2,Ready to move,47.5
Super built-up  Area,Hebbal,Emceske,3 BHK,3500,3500,3,3,44652,395
Super built-up  Area,Hoodi,GoAirej,2 BHK,1132,1132,2,1,44257,89.37
Super built-up  Area,Rajarajeshwari Nagara,,3 BHK,2000,2000,3,2,Ready to move,85
Plot  Area,Hebbal,,7 Bedroom,2400,2400,5,1,Ready to move,550
Super built-up  Area,Sector 2 HSR Layout,DShtsow,1 BHK,794,794,1,2,Ready to move,65
Super built-up  Area,Raja Rajeshwari Nagar,Lancyey,2 BHK,1090,1090,2,2,Ready to move,43.59
Super built-up  Area,Gottigere,Pridei ,3 BHK,1500,1500,3,2,Ready to move,70
Super built-up  Area,1st Phase JP Nagar,Prhtsok,3 BHK,2059,2059,3,2,Ready to move,225
Super built-up  Area,Kanakpura Road,PrarePa,1 BHK,525,525,1,1,44846,30
Super built-up  Area,Bhoganhalli,Rosha I,2 BHK,1447,1447,2,1,45094,75.97
Super built-up  Area,Whitefield,VaarkMe,2 BHK,1269,1269,2,1,45213,75
Plot  Area,KR Layout,,4 Bedroom,4800,4800,4,0,43767,700
Super built-up  Area,Kanakpura Road,Shiew T,2 BHK,1070,1070,2,2,Ready to move,37.45
Super built-up  Area,Talaghattapura,,2 BHK,1150,1150,2,0,Ready to move,28
Super built-up  Area,Marathahalli,,2 BHK,1208,1208,2,2,Ready to move,70
Super built-up  Area,Ramamurthy Nagar,Cimeshw,2 BHK,1185,1185,2,1,Ready to move,45.5
Plot  Area,Laggere,,3 Bedroom,1200,1200,3,1,Ready to move,130
Super built-up  Area,Anekal,,2 BHK,888,888,2,1,Ready to move,34
Super built-up  Area,Chandapura,SunceEs,2 BHK,1015,1015,2,2,44340,25.88
Built-up  Area,Celebrity Paradise Layout,,1 BHK,532,532,1,1,Ready to move,22.49
Super built-up  Area,St Thomas Town,,3 BHK,1060,1060,3,1,Ready to move,62
Built-up  Area,Electronic City,,1 BHK,700,700,1,1,Ready to move,35
Super built-up  Area,Ckikkakammana Halli,Radhian,2 BHK,902,902,2,2,Ready to move,42
Plot  Area,Banashankari 2nd Stage,,6 Bedroom,600,600,3,3,Ready to move,95
Super built-up  Area,Uttarahalli,,2 BHK,1175,1175,2,1,Ready to move,47
Super built-up  Area,Binny Pete,She 2rk,2 BHK,1365,1365,2,1,43839,122
Super built-up  Area,Doddathoguru,Hincy R,2 BHK,984,984,2,1,Ready to move,51
Plot  Area,Hebbal,,4 Bedroom,2700,2700,2,2,Ready to move,100
Super built-up  Area,Jalahalli East,,3 BHK,1475,1475,3,2,Ready to move,96
Super built-up  Area,Haralur Road,NDionas,2 BHK,1300,1300,2,2,Ready to move,79
Plot  Area,5th Block Hbr Layout,,5 Bedroom,1200,1200,6,1,Ready to move,220
Built-up  Area,Babusapalaya,,3 BHK,1453,1453,2,2,Ready to move,43.59
Super built-up  Area,Munivenkatppa Layout,SNiew L,2 BHK,1550,1550,2,3,Ready to move,160
Built-up  Area,Akshaya Nagar,DLhtsnd,3 BHK,1666,1666,3,,Ready to move,95
Plot  Area,Akshaya Nagar,,4 Bedroom,1410,1410,4,2,Ready to move,160
Plot  Area,Yelahanka,Nileyap,4 Bedroom,4025,4025,5,3,45022,800
Super built-up  Area,Murugeshpalya,Vestas ,3 BHK,1845,1845,3,3,Ready to move,91
Super built-up  Area,Sarjapura - Attibele Road,Puownm ,3 BHK,1676,1676,3,3,Ready to move,52
Super built-up  Area,Uttarahalli,PrdgeLa,2 BHK,1137,1137,2,1,44414,63
Super built-up  Area,Electronic City,GMown E,3 BHK,1360,1360,2,1,Ready to move,70.5
Super built-up  Area,Vijaya Bank Layout,FoGemna,3 BHK,1374,1374,2,2,Ready to move,70
Built-up  Area,Judicial Layout,,3 Bedroom,1700,1700,3,2,Ready to move,155
Plot  Area,Whitefield,,5 Bedroom,3227,3227,5,0,Ready to move,250
Super built-up  Area,Ferrar Nagar,Cestama,4 BHK,2145,2145,4,,Ready to move,125
Plot  Area,Koramangala,,4 Bedroom,2400,2400,6,3,Ready to move,600
Super built-up  Area,Kasavanhalli,,3 BHK,2170,2170,3,2,44743,151
Built-up  Area,Bank Of Baroda Colony,,2 BHK,1080,1080,2,1,Ready to move,55
Built-up  Area,Electronic City Phase II,SNbay G,3 BHK,1790,1790,3,3,Ready to move,100
Super built-up  Area,Doddathoguru,,1 BHK,550,550,1,1,Ready to move,17
Super built-up  Area,Poorna Pragna Layout,,3 BHK,1270,1270,2,2,Ready to move,50.79
Built-up  Area,Somasundara Palya,Ahhtser,2 BHK,1033,1033,2,2,Ready to move,48
Built-up  Area,Kamala Nagar,,2 Bedroom,1000,1000,2,1,Ready to move,80
Super built-up  Area,Binny Pete,She 2rk,4 BHK,2940,2940,6,2,45042,280
Super built-up  Area,Kumarapalli,BMmesHo,2 BHK,1240,1240,2,2,Ready to move,52.6
Plot  Area,Kasturi Nagar,,5 Bedroom,1650,1650,5,1,Ready to move,450
